,future,Au_TD,diff,ytm
20:00,,400.0,,
20:01,,400.31,,
20:02,,400.45,,
20:03,,400.35,,
20:04,,400.65,,
20:05,,400.76,,
20:06,,400.49,,
20:07,,400.43,,
20:08,,400.3,,
20:09,,400.35,,
20:10,,400.3,,
20:11,,400.32,,
20:12,,400.09,,
20:13,,400.31,,
20:14,,400.51,,
20:15,,400.55,,
20:16,,400.53,,
20:17,,400.49,,
20:18,,400.49,,
20:19,,400.49,,
20:20,,400.55,,
20:21,,400.54,,
20:22,,400.6,,
20:23,,400.52,,
20:24,,400.68,,
20:25,,400.59,,
20:26,,400.61,,
20:27,,400.54,,
20:28,,400.51,,
20:29,,400.5,,
20:30,,400.6,,
20:31,,400.71,,
20:32,,400.69,,
20:33,,400.45,,
20:34,,400.35,,
20:35,,400.1,,
20:36,,400.02,,
20:37,,400.08,,
20:38,,400.09,,
20:39,,400.11,,
20:40,,400.19,,
20:41,,400.21,,
20:42,,400.06,,
20:43,,398.4,,
20:44,,397.76,,
20:45,,398.62,,
20:46,,398.6,,
20:47,,398.67,,
20:48,,398.11,,
20:49,,398.29,,
20:50,,398.44,,
20:51,,398.3,,
20:52,,398.3,,
20:53,,398.28,,
20:54,,398.29,,
20:55,,398.0,,
20:56,,398.5,,
20:57,,398.35,,
20:58,,398.6,,
20:59,,398.5,,
21:00,402.52,398.27,4.25,2.434357
21:01,402.74,398.52,4.22,2.415657
21:02,402.72,398.47,4.25,2.433135
21:03,402.9,398.64,4.26,2.43782
21:04,402.72,398.47,4.25,2.433135
21:05,402.7,398.41,4.29,2.456405
21:06,402.62,398.42,4.2,2.404812
21:07,403.28,399.1,4.18,2.389282
21:08,403.26,399.07,4.19,2.395178
21:09,403.32,399.2,4.12,2.354396
21:10,403.26,399.14,4.12,2.35475
21:11,403.46,399.32,4.14,2.365114
21:12,403.44,399.34,4.1,2.342146
21:13,403.94,399.92,4.02,2.293115
21:14,403.9,399.75,4.15,2.368277
21:15,404.4,400.44,3.96,2.255956
21:16,404.02,400.07,3.95,2.25234
21:17,404.2,400.1,4.1,2.337697
21:18,404.18,400.1,4.08,2.326293
21:19,404.02,400.1,3.92,2.235066
21:20,404.04,400.0,4.04,2.304063
21:21,403.78,399.7,4.08,2.328621
21:22,404.02,400.0,4.02,2.292656
21:23,403.82,399.85,3.97,2.26499
21:24,403.52,399.61,3.91,2.232098
21:25,403.28,399.45,3.83,2.187304
21:26,403.28,399.3,3.98,2.273823
21:27,403.5,399.5,4.0,2.284105
21:28,403.42,399.49,3.93,2.244189
21:29,403.44,399.45,3.99,2.27868
21:30,403.38,399.45,3.93,2.244414
21:31,403.24,399.3,3.94,2.25097
21:32,403.22,399.29,3.93,2.245314
21:33,403.4,399.45,3.95,2.255836
21:34,403.26,399.39,3.87,2.21048
21:35,403.14,399.2,3.94,2.251534
21:36,402.92,399.1,3.82,2.183507
21:37,402.96,399.07,3.89,2.223686
21:38,403.0,399.07,3.93,2.246551
21:39,403.18,399.14,4.04,2.309027
21:40,403.06,399.1,3.96,2.26353
21:41,403.26,399.24,4.02,2.297021
21:42,403.2,399.25,3.95,2.256966
21:43,403.14,399.2,3.94,2.251534
21:44,403.12,399.2,3.92,2.240105
21:45,403.02,399.18,3.84,2.194499
21:46,403.12,399.11,4.01,2.292053
21:47,402.92,399.08,3.84,2.195049
21:48,403.3,399.44,3.86,2.204493
21:49,403.62,399.7,3.92,2.237303
21:50,403.48,399.65,3.83,2.18621
21:51,403.56,399.65,3.91,2.231875
21:52,403.32,399.6,3.72,2.123686
21:53,403.34,399.31,4.03,2.302331
21:54,403.36,399.48,3.88,2.215693
21:55,403.34,399.48,3.86,2.204272
21:56,402.76,399.0,3.76,2.149749
21:57,403.02,399.04,3.98,2.275304
21:58,402.96,398.94,4.02,2.298748
21:59,402.88,398.92,3.96,2.264552
22:00,402.78,398.72,4.06,2.322902
22:01,402.9,398.9,4.0,2.287541
22:02,402.58,398.6,3.98,2.277816
22:03,402.68,398.62,4.06,2.323485
22:04,402.7,398.76,3.94,2.254019
22:05,402.6,398.73,3.87,2.214139
22:06,402.54,398.72,3.82,2.185588
22:07,402.6,398.68,3.92,2.243027
22:08,402.8,398.88,3.92,2.241902
22:09,402.94,398.97,3.97,2.269986
22:10,402.92,398.9,4.02,2.298978
22:11,403.1,399.08,4.02,2.297942
22:12,403.16,399.26,3.9,2.228341
22:13,403.46,399.5,3.96,2.261264
22:14,403.4,399.38,4.02,2.296215
22:15,403.36,399.38,3.98,2.273367
22:16,403.36,399.45,3.91,2.232992
22:17,403.5,399.49,4.01,2.289873
22:18,403.6,399.66,3.94,2.248943
22:19,403.64,399.64,4.0,2.283305
22:20,403.72,399.68,4.04,2.305907
22:21,403.82,399.84,3.98,2.270752
22:22,403.98,399.86,4.12,2.35051
22:23,403.72,399.7,4.02,2.294377
22:24,403.6,399.52,4.08,2.329671
22:25,403.52,399.49,4.03,2.301294
22:26,403.48,399.55,3.93,2.243852
22:27,403.2,399.21,3.99,2.28005
22:28,403.4,399.4,4.0,2.284677
22:29,403.28,399.4,3.88,2.216137
22:30,403.28,399.16,4.12,2.354632
22:31,402.98,399.02,3.96,2.263984
22:32,402.6,398.65,3.95,2.260363
22:33,402.5,398.64,3.86,2.208917
22:34,402.22,398.31,3.91,2.239383
22:35,401.94,398.1,3.84,2.200452
22:36,402.1,398.35,3.75,2.14753
22:37,402.62,398.85,3.77,2.156277
22:38,402.94,399.2,3.74,2.137243
22:39,402.78,399.19,3.59,2.051576
22:40,402.2,398.31,3.89,2.227929
22:41,402.28,398.43,3.85,2.204355
22:42,402.08,398.32,3.76,2.153419
22:43,402.08,398.32,3.76,2.153419
22:44,402.42,398.65,3.77,2.157359
22:45,402.18,398.43,3.75,2.147099
22:46,402.26,398.51,3.75,2.146668
22:47,402.46,398.82,3.64,2.08208
22:48,402.58,398.85,3.73,2.133399
22:49,402.7,398.71,3.99,2.282909
22:50,402.6,398.87,3.73,2.133292
22:51,402.72,399.1,3.62,2.069187
22:52,402.86,399.12,3.74,2.137672
22:53,402.92,399.26,3.66,2.091212
22:54,402.9,399.09,3.81,2.177845
22:55,402.82,399.05,3.77,2.155197
22:56,402.86,399.17,3.69,2.108829
