,future,Au_TD,diff,ytm
20:00,,401.62,,
20:01,,401.77,,
20:02,,401.8,,
20:03,,401.73,,
20:04,,401.72,,
20:05,,401.67,,
20:06,,401.75,,
20:07,,401.65,,
20:08,,401.55,,
20:09,,401.68,,
20:10,,401.6,,
20:11,,401.75,,
20:12,,401.75,,
20:13,,401.76,,
20:14,,401.56,,
20:15,,401.4,,
20:16,,401.5,,
20:17,,401.63,,
20:18,,401.73,,
20:19,,401.75,,
20:20,,401.65,,
20:21,,401.58,,
20:22,,401.6,,
20:23,,401.75,,
20:24,,401.6,,
20:25,,401.74,,
20:26,,401.75,,
20:27,,401.85,,
20:28,,401.81,,
20:29,,401.89,,
20:30,,401.77,,
20:31,,401.65,,
20:32,,401.63,,
20:33,,401.8,,
20:34,,401.76,,
20:35,,401.78,,
20:36,,401.85,,
20:37,,401.74,,
20:38,,401.8,,
20:39,,401.82,,
20:40,,401.8,,
20:41,,401.84,,
20:42,,401.74,,
20:43,,401.61,,
20:44,,401.76,,
20:45,,401.58,,
20:46,,401.7,,
20:47,,401.52,,
20:48,,401.41,,
20:49,,401.3,,
20:50,,401.28,,
20:51,,401.45,,
20:52,,401.56,,
20:53,,401.6,,
20:54,,401.57,,
20:55,,401.57,,
20:56,,401.45,,
20:57,,401.5,,
20:58,,401.5,,
20:59,,401.47,,
21:00,406.66,401.89,4.77,2.69078
21:01,406.76,401.89,4.87,2.74719
21:02,406.5,401.71,4.79,2.703273
21:03,406.42,401.64,4.78,2.698099
21:04,406.38,401.73,4.65,2.624132
21:05,406.38,401.57,4.81,2.715506
21:06,406.48,401.65,4.83,2.726254
21:07,406.54,401.85,4.69,2.645915
21:08,406.6,401.9,4.7,2.651227
21:09,406.54,401.81,4.73,2.668747
21:10,406.5,401.75,4.75,2.680431
21:11,406.4,401.6,4.8,2.709658
21:12,406.38,401.65,4.73,2.66981
21:13,406.28,401.63,4.65,2.624785
21:14,406.18,401.55,4.63,2.614017
21:15,406.16,401.58,4.58,2.585594
21:16,406.42,401.82,4.6,2.595334
21:17,406.44,401.8,4.64,2.618033
21:18,406.46,401.83,4.63,2.612195
21:19,406.52,401.85,4.67,2.634632
21:20,406.7,402.0,4.7,2.650567
21:21,406.56,402.0,4.56,2.571614
21:22,406.04,401.42,4.62,2.609216
21:23,406.02,401.3,4.72,2.666489
21:24,406.04,401.33,4.71,2.660641
21:25,406.2,401.51,4.69,2.648155
21:26,406.26,401.56,4.7,2.653471
21:27,406.0,401.38,4.62,2.609476
21:28,406.1,401.49,4.61,2.603114
21:29,406.26,401.56,4.7,2.653471
21:30,406.2,401.59,4.61,2.602466
21:31,406.1,401.46,4.64,2.62025
21:32,406.1,401.33,4.77,2.694534
21:33,406.06,401.34,4.72,2.666223
21:34,406.2,401.5,4.7,2.653868
21:35,406.32,401.72,4.6,2.59598
21:36,406.42,401.8,4.62,2.606748
21:37,406.4,401.8,4.6,2.595463
21:38,406.42,401.84,4.58,2.583921
21:39,406.34,401.75,4.59,2.590143
21:40,406.42,401.76,4.66,2.629579
21:41,406.42,401.76,4.66,2.629579
21:42,406.5,401.85,4.65,2.623348
21:43,406.56,401.87,4.69,2.645783
21:44,406.56,401.88,4.68,2.640076
21:45,406.2,401.58,4.62,2.608176
21:46,406.26,401.69,4.57,2.579242
21:47,406.28,401.58,4.7,2.653339
21:48,406.3,401.63,4.67,2.636075
21:49,406.26,401.69,4.57,2.579242
21:50,406.3,401.64,4.66,2.630365
21:51,406.38,401.79,4.59,2.589885
21:52,406.6,401.96,4.64,2.61699
21:53,406.6,402.09,4.51,2.542847
21:54,406.74,402.1,4.64,2.616079
21:55,406.68,402.0,4.68,2.639288
21:56,406.64,402.11,4.53,2.553997
21:57,406.56,401.98,4.58,2.583021
21:58,406.54,401.81,4.73,2.668747
21:59,406.42,401.85,4.57,2.578216
22:00,406.32,401.73,4.59,2.590272
22:01,406.42,401.8,4.62,2.606748
22:02,406.32,401.67,4.65,2.624524
22:03,406.34,401.75,4.59,2.590143
22:04,406.16,401.54,4.62,2.608436
22:05,406.32,401.7,4.62,2.607397
22:06,406.4,401.75,4.65,2.624001
22:07,406.32,401.75,4.57,2.578857
22:08,406.24,401.61,4.63,2.613626
22:09,406.34,401.72,4.62,2.607267
22:10,406.4,401.78,4.62,2.606878
22:11,406.32,401.66,4.66,2.630234
22:12,406.22,401.58,4.64,2.619467
22:13,406.4,401.72,4.68,2.641128
22:14,406.6,401.92,4.68,2.639813
22:15,406.62,401.94,4.68,2.639682
22:16,406.7,402.0,4.7,2.650567
22:17,406.64,402.0,4.64,2.61673
22:18,406.56,401.99,4.57,2.577318
22:19,406.54,401.93,4.61,2.600264
22:20,406.66,402.05,4.61,2.599488
22:21,406.5,401.86,4.64,2.617642
22:22,406.4,401.69,4.71,2.658256
22:23,406.4,401.72,4.68,2.641128
22:24,406.4,401.72,4.68,2.641128
22:25,406.38,401.73,4.65,2.624132
22:26,406.28,401.63,4.65,2.624785
22:27,406.4,401.68,4.72,2.663967
22:28,406.18,401.5,4.68,2.642575
22:29,406.38,401.67,4.71,2.658389
22:30,406.16,401.5,4.66,2.631282
22:31,406.02,401.37,4.65,2.626486
22:32,406.3,401.7,4.6,2.596109
22:33,405.44,400.8,4.64,2.624565
22:34,405.68,401.13,4.55,2.57154
22:35,405.22,400.7,4.52,2.557326
22:36,404.9,400.16,4.74,2.685417
22:37,405.1,400.46,4.64,2.626793
22:38,405.3,400.64,4.66,2.63693
22:39,405.42,400.81,4.61,2.60753
22:40,405.26,400.79,4.47,2.528469
